Estrazione del 2021-01-10  Orario: 14:46
Roma 24 84 4 77 80 
Torino 19 3 41 64 38 
Venezia 65 88 38 52 71 
Nazionale 39 25 48 3 71 
Estrazione del 2021-01-10  Orario: 16:09
Bari 87 71 83 13 82 
Cagliari 13 63 5 32 80 
Firenze 15 80 38 83 85 
Genova 59 24 29 38 45 
Milano 28 35 57 33 73 
Napoli 80 26 38 61 70 
Palermo 50 14 82 74 18 
Roma 86 67 60 62 19 
Torino 11 52 56 3 46 
Venezia 24 78 74 23 84 
Nazionale 63 57 12 39 2 
Estrazione del 2021-01-10  Orario: 16:12
Bari 24 60 90 11 74 
Cagliari 62 36 20 79 17 
Firenze 13 65 27 24 17 
Genova 18 20 16 73 19 
Milano 31 74 24 51 73 
Napoli 24 2 57 5 25 
Palermo 26 57 88 61 28 
Roma 85 42 68 63 54 
Torino 4 37 28 83 22 
Venezia 6 10 41 74 82 
Nazionale 59 14 27 83 26 
Estrazione del 2021-01-10  Orario: 16:49
Bari 37 7 3 21 28 
Cagliari 49 7 68 43 23 
Firenze 79 44 25 74 63 
Genova 5 38 32 56 28 
Milano 74 71 2 69 52 
Napoli 53 77 71 75 65 
Palermo 17 81 67 37 71 
Roma 78 43 48 30 27 
Torino 88 36 52 71 8 
Venezia 18 70 2 74 7 
Nazionale 75 16 61 54 87 
Estrazione del 2021-01-10  Orario: 17:10
Bari 66 51 30 55 81 
Cagliari 87 27 70 17 10 
Firenze 40 19 8 77 9 
Genova 61 60 75 41 2 
Milano 13 52 26 6 19 
Napoli 82 3 86 64 18 
Palermo 23 24 9 78 67 
Roma 6 66 46 74 37 
Torino 85 54 45 33 62 
Venezia 67 55 47 17 56 
Nazionale 21 30 81 26 49 
Estrazione del 2021-01-10  Orario: 17:19
Bari 48 4 71 86 52 
Cagliari 82 2 89 15 32 
Firenze 90 45 17 39 14 
Genova 51 5 88 55 50 
Milano 76 90 58 30 13 
Napoli 47 44 83 6 63 
Palermo 30 16 28 63 80 
Roma 16 27 40 30 20 
Torino 1 36 37 39 11 
Venezia 49 44 9 13 55 
Nazionale 84 13 74 76 25 
Estrazione del 2021-01-10  Orario: 17:21
Bari 59 60 78 83 85 
Cagliari 19 75 89 43 62 
Firenze 11 90 6 31 4 
Genova 28 50 69 12 29 
Milano 77 10 33 40 48 
Napoli 80 71 62 23 81 
Palermo 31 82 68 75 38 
Roma 49 60 36 85 12 
Torino 60 5 63 27 36 
Venezia 28 54 47 6 27 
Nazionale 75 82 88 17 83 
Estrazione del 2021-01-10  Orario: 17:28
Bari 75 47 39 40 14 
Cagliari 10 88 86 63 82 
Firenze 14 36 65 34 22 
Genova 39 71 12 29 19 
Milano 22 49 12 5 83 
Napoli 19 53 2 29 51 
Palermo 76 37 51 25 60 
Roma 74 46 85 65 21 
Torino 82 1 54 13 39 
Venezia 86 76 30 15 7 
Nazionale 78 63 61 32 43 
Estrazione del 2021-01-10  Orario: 17:31
Bari 29 23 83 87 72 
Cagliari 56 68 43 13 51 
Firenze 34 9 52 85 67 
Genova 51 56 87 27 42 
Milano 78 86 74 23 38 
Napoli 24 21 59 85 87 
Palermo 5 77 83 76 42 
Roma 23 81 54 73 24 
Torino 24 34 18 1 85 
Venezia 36 49 73 77 30 
Nazionale 22 20 25 59 43 
Estrazione del 2021-01-10  Orario: 17:58
Bari 2 29 52 73 12 
Cagliari 29 4 78 61 28 
Firenze 35 1 88 81 36 
Genova 74 28 35 79 33 
Milano 62 35 53 74 28 
Napoli 26 51 3 38 49 
Palermo 37 39 77 89 73 
Roma 50 27 38 89 49 
Torino 66 34 50 63 76 
Venezia 47 9 65 81 49 
Nazionale 7 52 83 60 88 
Estrazione del 2021-01-10  Orario: 18:04
Bari 46 47 19 70 35 
Cagliari 24 9 14 80 77 
Firenze 41 48 30 69 19 
Genova 23 24 56 12 54 
Milano 77 74 14 12 9 
Napoli 11 81 41 78 69 
Palermo 60 86 77 40 65 
Roma 74 63 35 87 14 
Torino 21 89 61 13 30 
Venezia 79 35 53 6 8 
Nazionale 16 83 82 81 4 
Estrazione del 2021-01-10  Orario: 18:16
Bari 56 1 20 6 31 
Cagliari 5 52 69 35 67 
Firenze 35 52 77 43 46 
Genova 18 62 86 68 38 
Milano 16 18 8 31 81 
Napoli 47 30 66 60 61 
Palermo 84 60 42 89 1 
Roma 46 50 31 42 7 
Torino 38 8 46 81 15 
Venezia 63 52 62 2 89 
Nazionale 77 19 59 70 61 
Estrazione del 2021-01-10  Orario: 18:36
Bari 23 31 26 50 58 
Cagliari 55 23 54 87 90 
Firenze 46 76 55 3 45 
Genova 11 22 73 9 4 
Milano 47 38 21 84 11 
Napoli 64 46 83 5 13 
Palermo 25 79 43 12 38 
Roma 11 28 61 26 25 
Torino 60 33 10 76 35 
Venezia 17 86 18 89 4 
Nazionale 22 7 4 52 66 
Estrazione del 2021-01-10  Orario: 18:38
Bari 4 54 85 69 80 
Cagliari 7 73 4 27 72 
Firenze 52 54 80 37 26 
Genova 47 59 68 74 50 
Milano 89 84 9 81 90 
Napoli 14 6 1 47 90 
Palermo 61 12 15 55 81 
Roma 4 24 63 7 50 
Torino 6 21 65 47 19 
Venezia 90 4 77 29 88 
Nazionale 79 32 58 31 71 
Estrazione del 2021-01-10  Orario: 18:43
Bari 65 33 81 11 59 
Cagliari 10 9 39 63 19 
Firenze 18 80 34 32 58 
Genova 68 22 42 33 55 
Milano 38 74 63 1 18 
Napoli 84 72 13 50 43 
Palermo 39 83 85 49 13 
Roma 5 58 51 29 38 
Torino 31 18 27 64 11 
Venezia 84 4 33 88 36 
Nazionale 49 35 71 73 88 
